source_result_filename,line_number,B,x,pte_solution_id,bit_length_p,p,LP_congruence_ok,LP_minus_omega,LP_plus_omega,LP_minus_lpf,LP_plus_lpf,smooth_ok
size-12_28_508213394906208_to_526350390753968.txt,182,268435456,510796126391672,2,512,9355816148700659051640061440899400676699704943594616366140933205827791968821466084194144092358933402872320699667710483870980437363744475484988193779026749,False,36,30,113083273,238733063,True
size-6-squ_22_110680464442257309696_to_110680569995373576192.txt,3,4194304,110680538707706873685,45,387,255326028077003446605182284502323208364439137364542678592582729662254953233871646791069277123093570440198002891909137,False,30,15,3541957,1511569,True
size-6-squ_22_73786888333907984384_to_73786941110466117632.txt,37,4194304,73786935695806737495,57,371,3780618911274119777159501246137814718411377293808834452817072555546616681150189326459018852389224351588353704657,False,29,15,3538151,4058227,True
size-6-squ_22_73786888333907984384_to_73786941110466117632.txt,72,4194304,73786895599526592417,8,350,1247521900642773876765017436111869818298808027312968401465026221981425005210999254139033200731823663256961,False,28,12,3221941,1009483,True
size-6-squ_22_73786941110466117632_to_73786976294838206464.txt,31,4194304,73786941447948732976,0,376,114363775558153467387060732262992929127277693878146662435044467519662655360466065436144722812725532999203151504561,False,35,13,2348579,3220033,True
size-6-squ_22_74939897799445053440_to_74940038536933408768.txt,111,4194304,74939944751981924761,21,384,24600714170622799816088836092734294918071122448528500631523214880860080654749490140217212311032942985224695552198151,False,32,15,3785449,630911,True
size-6-squ_22_74939897799445053440_to_74940038536933408768.txt,123,4194304,74939927260394782495,13,352,6837396119636006794577478642351888631251014143709431359519495037492570854759274150588790252567568735660017,False,28,15,4124837,2419883,True
size-6-squ_22_74939897799445053440_to_74940038536933408768.txt,125,4194304,74940002038910021203,47,363,15644245912370048184105678458703601298106158106252701771865471080121679641070020256227893755563460616258623697,False,27,15,2155963,2712377,True
size-6-squ_22_74939897799445053440_to_74940038536933408768.txt,145,4194304,74940030877370203080,60,363,15644282033777940914854022852596567781151843301916578052800892865208600619737160059649248145809244884463207551,False,32,12,2923007,3288113,True
size-6-squ_22_74939897799445053440_to_74940038536933408768.txt,164,4194304,74939982689644756283,38,384,24600788894039040999592920911566878797656183300575242974345377299098940997899952194243795584346888880880475150460049,False,30,16,3726773,501593,True
size-6-squ_22_74939897799445053440_to_74940038536933408768.txt,176,4194304,74939987164928190464,40,368,300757955263513949599084334871389807987382688238170259120896930811169764456531683723357572456035627697270328321,False,32,12,1052329,2190607,True
size-6-squ_22_74939897799445053440_to_74940038536933408768.txt,205,4194304,74939958783471233179,27,371,4149222770709773314304972867603615732737731400010075787280597543722183467432381602822666062753107725541353190449,False,31,17,2606011,4017367,True
size-6-squ_22_74939897799445053440_to_74940038536933408768.txt,223,4194304,74939989736653381520,41,376,125514299867894293356024859363326910474710782587434571214719351752584637135299711638522815139883971312758222008257,False,33,13,1604719,741011,True
size-6-squ_23_73786976294838206464_to_73788102194745049088.txt,9,8388608,73787574432467083573,34,371,3780815277105142696006996545207378240922910789376537740433916629401345377375933903561161693011805130498521226951,False,30,13,6643057,4807679,True
size-6-squ_23_73786976294838206464_to_73788102194745049088.txt,52,8388608,73787644823906473460,38,351,3865408183606362756081805188338305787806492668277849298024808936706586392068504944500271040511883637749887,False,27,12,7933927,7430809,True
size-6-squ_23_73786976294838206464_to_73788102194745049088.txt,61,8388608,73787521683504743693,31,384,22416357628226144190694418133640414460513529607960614146509122401302577305690800239400341390784913517697001416929537,False,25,15,4732711,8213893,True
size-6-squ_23_73786976294838206464_to_73788102194745049088.txt,80,8388608,73787785579919686280,46,376,114371625799274949201834631580976454544194613164755104902272495273254249107363381979593080821748133417996625660191,False,30,16,3161131,2253169,True
size-6-squ_23_73786976294838206464_to_73788102194745049088.txt,108,8388608,73787205057542820928,13,357,201166241620306883876895653903583073751863596342128900348115592145385782702823598315721288379107520673254481,False,28,11,3191719,7495289,True
size-6-squ_23_73786976294838206464_to_73788102194745049088.txt,111,8388608,73787908745752770085,53,365,40065956928584842177471509486871600079648577859564473426500510133967979206538268326512467015792852954068599751,False,29,14,6841243,2927147,True
size-6-squ_23_73786976294838206464_to_73788102194745049088.txt,125,8388608,73787715244644157083,42,384,22416710449197504655309576952784533799420659309301668894533358785565638246021616637188791388722910311108196090894449,False,29,17,7880659,5328767,True
size-6-squ_23_73786976294838206464_to_73788102194745049088.txt,171,8388608,73787064362244822159,5,361,4384779633891307655407555291707950101230757051965378378501136367444020200092159965720774247733306236980317697,False,25,14,7006361,2342257,True
size-6-squ_23_73786976294838206464_to_73788102194745049088.txt,215,8388608,73787662531149710943,39,378,457481925779601479780486449088218460510100704093837980280666969674475565044521961733809013185025596467883334578887,False,30,16,6776443,6014357,True
size-6-squ_23_73786976294838206464_to_73788102194745049088.txt,217,8388608,73787451425695832045,27,364,26255399032371496161218644440402939295214655499585378937723871464781577297655148587338428702659831499909334801,False,25,13,7120537,3672499,True
size-6-squ_23_73786976294838206464_to_73788102194745049088.txt,225,8388608,73786994034604319746,1,356,77407031918437936249566117277321794234635913100990852421898819055556669837174114779254053596258718797112449,False,29,14,4678783,4669351,True
size-6-squ_23_73786976294838206464_to_73788102194745049088.txt,247,8388608,73788049581967748503,61,384,22417319886243955281987425920010061227397753933334336314862120017115890214685755675250064172776936486427835098634951,False,33,16,7492703,6861847,True
size-6_16_1099511627776_to_2199023255552.txt,15,65536,1700823874903,35,208,310810597005745680290951244579901832888789507763625666819335457,False,22,10,29399,39877,True
size-6_16_1099511627776_to_2199023255552.txt,51,65536,1735279242160,37,215,50881328186065437351149478665134828042617472366788216725152219537,False,20,12,41399,36523,True
size-6_16_1099511627776_to_2199023255552.txt,80,65536,1134034519240,2,220,1507193729026526120480829180859422781006445194160053699872292224799,False,22,12,51593,63727,True
size-6_16_1099511627776_to_2199023255552.txt,120,65536,1975965043426,51,209,764214546434117431031836393219277387585531982845517097038120199,False,20,12,55547,31657,True
size-6_16_1099511627776_to_2199023255552.txt,167,65536,1254489844083,9,229,541340353433316063215475312115803962806401487550091619976623786398449,False,24,13,34283,44111,True
size-6_16_1099511627776_to_2199023255552.txt,209,65536,1563834636421,27,231,2031479623281694081187581247529487130891591545814376904415271840157057,False,24,11,46703,21283,True
size-6_16_1099511627776_to_2199023255552.txt,224,65536,1323357125183,13,224,15224175569815289780740193557560403001105305494178780219444640760391,False,22,11,48091,10709,True
size-6_16_1099511627776_to_2199023255552.txt,295,65536,1546854210272,26,212,3400639617704817665351865870844166691985866987902675752044719647,False,23,9,44579,26209,True
size-6_16_1099511627776_to_2199023255552.txt,314,65536,1254801200746,9,221,2766056111433564489892488046895675670883043761130447464616577382049,False,22,12,48869,7247,True
size-6_16_1099511627776_to_2199023255552.txt,367,65536,2096800368346,58,226,60221828475663147324326020779936138542689937896134085497500848124449,False,23,13,43781,13441,True
size-6_16_1099511627776_to_2199023255552.txt,379,65536,1134649702775,2,222,6048424246852826151660743441867049263468218425667586974903812010961,False,23,12,44851,24547,True
size-6_16_1099511627776_to_2199023255552.txt,408,65536,1444012309840,20,214,16895365149861435177927568342978060911157314621992199433707062449,False,21,12,24821,26557,True
